Epoch 050: Train Loss: 0.6622 (TP, FP, TN, FN)=(1365, 2146, 4711, 2611), Val Loss: 0.6941 (TP, FP, TN, FN)=(156, 223, 523, 288)
Epoch 051: Train Loss: 0.6621 (TP, FP, TN, FN)=(1288, 1973, 4884, 2688), Val Loss: 0.6971 (TP, FP, TN, FN)=(144, 206, 540, 300)
Epoch 052: Train Loss: 0.6618 (TP, FP, TN, FN)=(1279, 1893, 4964, 2697), Val Loss: 0.6993 (TP, FP, TN, FN)=(146, 199, 547, 298)
Epoch 053: Train Loss: 0.6611 (TP, FP, TN, FN)=(1330, 1933, 4924, 2646), Val Loss: 0.7007 (TP, FP, TN, FN)=(153, 206, 540, 291)
Epoch 054: Train Loss: 0.6601 (TP, FP, TN, FN)=(1436, 2105, 4752, 2540), Val Loss: 0.7009 (TP, FP, TN, FN)=(169, 219, 527, 275)
Epoch 055: Train Loss: 0.6592 (TP, FP, TN, FN)=(1602, 2407, 4450, 2374), Val Loss: 0.7004 (TP, FP, TN, FN)=(191, 244, 502, 253)
Epoch 056: Train Loss: 0.6584 (TP, FP, TN, FN)=(1780, 2656, 4201, 2196), Val Loss: 0.6994 (TP, FP, TN, FN)=(207, 276, 470, 237)
Epoch 057: Train Loss: 0.6576 (TP, FP, TN, FN)=(1906, 2863, 3994, 2070), Val Loss: 0.6976 (TP, FP, TN, FN)=(217, 293, 453, 227)
Epoch 058: Train Loss: 0.6568 (TP, FP, TN, FN)=(1943, 2959, 3898, 2033), Val Loss: 0.6955 (TP, FP, TN, FN)=(218, 301, 445, 226)
Epoch 059: Train Loss: 0.6559 (TP, FP, TN, FN)=(1935, 2958, 3899, 2041), Val Loss: 0.6928 (TP, FP, TN, FN)=(226, 308, 438, 218)
Epoch 060: Train Loss: 0.6550 (TP, FP, TN, FN)=(1883, 2919, 3938, 2093), Val Loss: 0.6904 (TP, FP, TN, FN)=(220, 303, 443, 224)
Epoch 061: Train Loss: 0.6543 (TP, FP, TN, FN)=(1821, 2852, 4005, 2155), Val Loss: 0.6881 (TP, FP, TN, FN)=(215, 297, 449, 229)
Epoch 062: Train Loss: 0.6535 (TP, FP, TN, FN)=(1787, 2777, 4080, 2189), Val Loss: 0.6857 (TP, FP, TN, FN)=(212, 288, 458, 232)
Epoch 063: Train Loss: 0.6527 (TP, FP, TN, FN)=(1760, 2702, 4155, 2216), Val Loss: 0.6845 (TP, FP, TN, FN)=(207, 283, 463, 237)
Epoch 064: Train Loss: 0.6518 (TP, FP, TN, FN)=(1735, 2652, 4205, 2241), Val Loss: 0.6837 (TP, FP, TN, FN)=(205, 277, 469, 239)
Epoch 065: Train Loss: 0.6509 (TP, FP, TN, FN)=(1735, 2632, 4225, 2241), Val Loss: 0.6831 (TP, FP, TN, FN)=(207, 275, 471, 237)
Epoch 066: Train Loss: 0.6499 (TP, FP, TN, FN)=(1768, 2626, 4231, 2208), Val Loss: 0.6825 (TP, FP, TN, FN)=(204, 280, 466, 240)
Epoch 067: Train Loss: 0.6489 (TP, FP, TN, FN)=(1794, 2669, 4188, 2182), Val Loss: 0.6824 (TP, FP, TN, FN)=(207, 284, 462, 237)
Epoch 068: Train Loss: 0.6478 (TP, FP, TN, FN)=(1847, 2692, 4165, 2129), Val Loss: 0.6829 (TP, FP, TN, FN)=(212, 292, 454, 232)
Epoch 069: Train Loss: 0.6467 (TP, FP, TN, FN)=(1902, 2730, 4127, 2074), Val Loss: 0.6838 (TP, FP, TN, FN)=(219, 294, 452, 225)
Epoch 070: Train Loss: 0.6456 (TP, FP, TN, FN)=(1934, 2782, 4075, 2042), Val Loss: 0.6842 (TP, FP, TN, FN)=(219, 295, 451, 225)
Epoch 071: Train Loss: 0.6444 (TP, FP, TN, FN)=(2006, 2865, 3992, 1970), Val Loss: 0.6843 (TP, FP, TN, FN)=(223, 301, 445, 221)
Epoch 072: Train Loss: 0.6431 (TP, FP, TN, FN)=(2095, 2972, 3885, 1881), Val Loss: 0.6842 (TP, FP, TN, FN)=(230, 308, 438, 214)
Epoch 073: Train Loss: 0.6418 (TP, FP, TN, FN)=(2154, 3051, 3806, 1822), Val Loss: 0.6841 (TP, FP, TN, FN)=(240, 321, 425, 204)
Epoch 074: Train Loss: 0.6406 (TP, FP, TN, FN)=(2130, 3025, 3832, 1846), Val Loss: 0.6831 (TP, FP, TN, FN)=(237, 319, 427, 207)
Epoch 075: Train Loss: 0.6390 (TP, FP, TN, FN)=(2086, 2962, 3895, 1890), Val Loss: 0.6822 (TP, FP, TN, FN)=(229, 313, 433, 215)
Epoch 076: Train Loss: 0.6371 (TP, FP, TN, FN)=(2162, 3041, 3816, 1814), Val Loss: 0.6820 (TP, FP, TN, FN)=(237, 322, 424, 207)
Epoch 077: Train Loss: 0.6354 (TP, FP, TN, FN)=(2174, 3032, 3825, 1802), Val Loss: 0.6819 (TP, FP, TN, FN)=(240, 316, 430, 204)
Epoch 078: Train Loss: 0.6336 (TP, FP, TN, FN)=(2109, 2903, 3954, 1867), Val Loss: 0.6807 (TP, FP, TN, FN)=(227, 306, 440, 217)
Epoch 079: Train Loss: 0.6317 (TP, FP, TN, FN)=(2158, 2978, 3879, 1818), Val Loss: 0.6796 (TP, FP, TN, FN)=(231, 317, 429, 213)
Epoch 080: Train Loss: 0.6298 (TP, FP, TN, FN)=(2214, 3072, 3785, 1762), Val Loss: 0.6789 (TP, FP, TN, FN)=(243, 323, 423, 201)
Epoch 081: Train Loss: 0.6279 (TP, FP, TN, FN)=(2199, 3056, 3801, 1777), Val Loss: 0.6783 (TP, FP, TN, FN)=(243, 326, 420, 201)
Epoch 082: Train Loss: 0.6260 (TP, FP, TN, FN)=(2195, 3029, 3828, 1781), Val Loss: 0.6778 (TP, FP, TN, FN)=(238, 325, 421, 206)
Epoch 083: Train Loss: 0.6241 (TP, FP, TN, FN)=(2225, 3072, 3785, 1751), Val Loss: 0.6776 (TP, FP, TN, FN)=(244, 330, 416, 200)
Epoch 084: Train Loss: 0.6221 (TP, FP, TN, FN)=(2169, 2991, 3866, 1807), Val Loss: 0.6768 (TP, FP, TN, FN)=(235, 322, 424, 209)
Epoch 085: Train Loss: 0.6203 (TP, FP, TN, FN)=(2162, 2968, 3889, 1814), Val Loss: 0.6758 (TP, FP, TN, FN)=(235, 323, 423, 209)
Epoch 086: Train Loss: 0.6185 (TP, FP, TN, FN)=(2191, 2995, 3862, 1785), Val Loss: 0.6767 (TP, FP, TN, FN)=(233, 327, 419, 211)
Epoch 087: Train Loss: 0.6165 (TP, FP, TN, FN)=(2186, 2975, 3882, 1790), Val Loss: 0.6785 (TP, FP, TN, FN)=(233, 328, 418, 211)
Epoch 088: Train Loss: 0.6146 (TP, FP, TN, FN)=(2112, 2857, 4000, 1864), Val Loss: 0.6783 (TP, FP, TN, FN)=(223, 312, 434, 221)
Epoch 089: Train Loss: 0.6137 (TP, FP, TN, FN)=(2388, 3339, 3518, 1588), Val Loss: 0.6798 (TP, FP, TN, FN)=(261, 362, 384, 183)
Epoch 090: Train Loss: 0.6145 (TP, FP, TN, FN)=(1933, 2616, 4241, 2043), Val Loss: 0.6777 (TP, FP, TN, FN)=(202, 286, 460, 242)
