Epoch 077: Train Loss: 0.6719 (TP, FP, TN, FN)=(2211, 3409, 3448, 1765), Val Loss: 0.6901 (TP, FP, TN, FN)=(235, 375, 371, 209), f1=0.4459
Epoch 078: Train Loss: 0.6727 (TP, FP, TN, FN)=(2079, 3094, 3763, 1897), Val Loss: 0.6924 (TP, FP, TN, FN)=(224, 348, 398, 220), f1=0.4409
Epoch 079: Train Loss: 0.6720 (TP, FP, TN, FN)=(2123, 3196, 3661, 1853), Val Loss: 0.6906 (TP, FP, TN, FN)=(227, 355, 391, 217), f1=0.4425
Epoch 080: Train Loss: 0.6710 (TP, FP, TN, FN)=(2335, 3656, 3201, 1641), Val Loss: 0.6869 (TP, FP, TN, FN)=(251, 405, 341, 193), f1=0.4564
Epoch 081: Train Loss: 0.6715 (TP, FP, TN, FN)=(2552, 4085, 2772, 1424), Val Loss: 0.6856 (TP, FP, TN, FN)=(269, 462, 284, 175), f1=0.4579
Epoch 082: Train Loss: 0.6715 (TP, FP, TN, FN)=(2588, 4150, 2707, 1388), Val Loss: 0.6859 (TP, FP, TN, FN)=(272, 471, 275, 172), f1=0.4583
Epoch 083: Train Loss: 0.6705 (TP, FP, TN, FN)=(2445, 3841, 3016, 1531), Val Loss: 0.6874 (TP, FP, TN, FN)=(261, 430, 316, 183), f1=0.4599
Epoch 084: Train Loss: 0.6705 (TP, FP, TN, FN)=(2275, 3494, 3363, 1701), Val Loss: 0.6911 (TP, FP, TN, FN)=(240, 383, 363, 204), f1=0.4499
Epoch 085: Train Loss: 0.6707 (TP, FP, TN, FN)=(2238, 3382, 3475, 1738), Val Loss: 0.6936 (TP, FP, TN, FN)=(237, 376, 370, 207), f1=0.4484
Epoch 086: Train Loss: 0.6701 (TP, FP, TN, FN)=(2345, 3580, 3277, 1631), Val Loss: 0.6928 (TP, FP, TN, FN)=(248, 398, 348, 196), f1=0.4550
Epoch 087: Train Loss: 0.6698 (TP, FP, TN, FN)=(2502, 3899, 2958, 1474), Val Loss: 0.6912 (TP, FP, TN, FN)=(265, 437, 309, 179), f1=0.4625
Epoch 088: Train Loss: 0.6700 (TP, FP, TN, FN)=(2596, 4095, 2762, 1380), Val Loss: 0.6907 (TP, FP, TN, FN)=(273, 461, 285, 171), f1=0.4635
Epoch 089: Train Loss: 0.6696 (TP, FP, TN, FN)=(2558, 4011, 2846, 1418), Val Loss: 0.6911 (TP, FP, TN, FN)=(269, 445, 301, 175), f1=0.4646
Epoch 090: Train Loss: 0.6692 (TP, FP, TN, FN)=(2423, 3753, 3104, 1553), Val Loss: 0.6923 (TP, FP, TN, FN)=(253, 417, 329, 191), f1=0.4542
Epoch 091: Train Loss: 0.6693 (TP, FP, TN, FN)=(2325, 3529, 3328, 1651), Val Loss: 0.6935 (TP, FP, TN, FN)=(244, 396, 350, 200), f1=0.4502
Epoch 092: Train Loss: 0.6691 (TP, FP, TN, FN)=(2318, 3531, 3326, 1658), Val Loss: 0.6926 (TP, FP, TN, FN)=(244, 396, 350, 200), f1=0.4502
Epoch 093: Train Loss: 0.6686 (TP, FP, TN, FN)=(2405, 3728, 3129, 1571), Val Loss: 0.6900 (TP, FP, TN, FN)=(256, 409, 337, 188), f1=0.4617
Epoch 094: Train Loss: 0.6686 (TP, FP, TN, FN)=(2495, 3913, 2944, 1481), Val Loss: 0.6881 (TP, FP, TN, FN)=(265, 438, 308, 179), f1=0.4621
Epoch 095: Train Loss: 0.6685 (TP, FP, TN, FN)=(2503, 3936, 2921, 1473), Val Loss: 0.6875 (TP, FP, TN, FN)=(266, 441, 305, 178), f1=0.4622
Epoch 096: Train Loss: 0.6681 (TP, FP, TN, FN)=(2412, 3759, 3098, 1564), Val Loss: 0.6880 (TP, FP, TN, FN)=(257, 418, 328, 187), f1=0.4593
Epoch 097: Train Loss: 0.6681 (TP, FP, TN, FN)=(2305, 3569, 3288, 1671), Val Loss: 0.6893 (TP, FP, TN, FN)=(248, 392, 354, 196), f1=0.4576
Epoch 098: Train Loss: 0.6679 (TP, FP, TN, FN)=(2292, 3539, 3318, 1684), Val Loss: 0.6898 (TP, FP, TN, FN)=(244, 392, 354, 200), f1=0.4519
Epoch 099: Train Loss: 0.6676 (TP, FP, TN, FN)=(2378, 3705, 3152, 1598), Val Loss: 0.6891 (TP, FP, TN, FN)=(253, 408, 338, 191), f1=0.4579
Epoch 100: Train Loss: 0.6674 (TP, FP, TN, FN)=(2480, 3876, 2981, 1496), Val Loss: 0.6886 (TP, FP, TN, FN)=(264, 434, 312, 180), f1=0.4623
