detector_id,correlation,correlation_ma
02305136,-0.709,-0.709
02340123,N/A,N/A
02340124,N/A,N/A
02365113,N/A,N/A
02365115,N/A,N/A
02415124,0.347,0.397
02420115,-0.439,-0.544
02420116,-0.135,-0.113
02575112,-0.158,-0.059
02575113,0.547,0.702
02618121_alt,N/A,N/A
02618122_alt,N/A,N/A
02618131_alt,N/A,N/A
02618132_alt,N/A,N/A
02618136_alt,N/A,N/A
02618138_alt,N/A,N/A
06.X-2li,0.606,0.633
06.X-2r,0.485,0.560
06072121,0.320,0.460
06072141,0.384,0.513
06090181,0.009,0.118
06090182,0.195,0.280
08100131,0.598,0.688
08100134,0.869,0.910
08115121,0.662,0.801
08115122,0.477,0.550
08122120,-0.078,-0.113
08122122,0.918,0.946
08122124,0.349,0.465
08124120,0.421,0.539
08124122,0.922,0.962
08124124,0.282,0.317
08205123,N/A,N/A
08205125,N/A,N/A
08205128,-0.363,-0.413
08205130,0.196,0.231
08205181,0.427,0.347
08205183,0.489,0.641
08230111,0.410,0.516
08230122,0.709,0.841
08245141,0.887,0.941
08245143,0.964,0.981
08300111,0.644,0.819
08300114,0.808,0.890
08300123,0.079,0.097
08300124,0.072,0.192
08307113,0.272,0.372
08307116,0.906,0.953
08307120,0.780,0.879
08307122,0.747,0.810
08307123,0.956,0.980
08345111,0.145,0.182
08345131,0.231,0.411
08360121,N/A,N/A
08360122,N/A,N/A
08360123,N/A,N/A
08360153,N/A,N/A
08430111,0.036,0.115
08430131,0.226,0.359
08440111,0.265,0.292
08440132,-0.130,-0.086
08441122,N/A,N/A
08441142,0.561,0.687
08450133,0.059,0.127
08450134,0.180,0.225
08455131,N/A,N/A
08455132,N/A,N/A
08460180,N/A,N/A
08460182,N/A,N/A
08485113,N/A,N/A
08485115,N/A,N/A
08485135,N/A,0.318
08485137,N/A,N/A
08531151,0.907,0.943
08531153,0.914,0.940
08998162,0.914,0.956
08998164,0.451,0.505
08998166,0.910,0.950
08998168,0.404,0.493
08998170,0.777,0.866
08998171,0.532,0.623
09059111,-0.399,-0.357
09059113,-0.676,-0.728
09059115,-0.550,-0.619
09059117,-0.193,-0.153
09070111,N/A,N/A
09070112,N/A,N/A
09079111,-0.707,-0.736
09079113,-0.185,-0.167
09079115,0.078,0.092
09090117,-0.632,-0.697
09090118,0.104,0.192
09090121,0.411,0.580
09090125,0.917,0.954
09090126,0.714,0.784
09090162,0.231,0.448
09090164,0.381,0.539
09090166,0.355,0.501
09090168,0.628,0.843
09090190,0.015,0.148
09090192,-0.142,0.026
09096180,0.683,0.762
09096182,0.873,0.905
09099160,0.653,0.777
09099161,-0.074,0.074
09099171,-0.108,-0.024
09099173,0.258,0.306
09099181,0.400,0.395
09099183,0.942,0.959
09099190,0.296,0.486
09099191,0.234,0.415
09100190,0.531,0.627
09100192,0.653,0.719
09100194,0.688,0.778
09100195,0.288,0.439
09100196,0.304,0.407
