Epoch 073: Train Loss: 0.6235 (TP, FP, TN, FN)=(1887, 2914, 3962, 2070), Val Loss: 0.6709 (TP, FP, TN, FN)=(206, 323, 404, 257)
Epoch 074: Train Loss: 0.6220 (TP, FP, TN, FN)=(1925, 2956, 3920, 2032), Val Loss: 0.6705 (TP, FP, TN, FN)=(210, 333, 394, 253)
Epoch 075: Train Loss: 0.6204 (TP, FP, TN, FN)=(1910, 2925, 3951, 2047), Val Loss: 0.6703 (TP, FP, TN, FN)=(210, 332, 395, 253)
Epoch 076: Train Loss: 0.6186 (TP, FP, TN, FN)=(1905, 2919, 3957, 2052), Val Loss: 0.6703 (TP, FP, TN, FN)=(207, 327, 400, 256)
Epoch 077: Train Loss: 0.6170 (TP, FP, TN, FN)=(1888, 2905, 3971, 2069), Val Loss: 0.6697 (TP, FP, TN, FN)=(205, 330, 397, 258)
Epoch 078: Train Loss: 0.6154 (TP, FP, TN, FN)=(1921, 2922, 3954, 2036), Val Loss: 0.6685 (TP, FP, TN, FN)=(208, 333, 394, 255)
Epoch 079: Train Loss: 0.6136 (TP, FP, TN, FN)=(1896, 2879, 3997, 2061), Val Loss: 0.6678 (TP, FP, TN, FN)=(205, 326, 401, 258)
Epoch 080: Train Loss: 0.6118 (TP, FP, TN, FN)=(1858, 2787, 4089, 2099), Val Loss: 0.6681 (TP, FP, TN, FN)=(201, 313, 414, 262)
Epoch 081: Train Loss: 0.6099 (TP, FP, TN, FN)=(1848, 2754, 4122, 2109), Val Loss: 0.6677 (TP, FP, TN, FN)=(200, 309, 418, 263)
Epoch 082: Train Loss: 0.6081 (TP, FP, TN, FN)=(1879, 2826, 4050, 2078), Val Loss: 0.6671 (TP, FP, TN, FN)=(202, 321, 406, 261)
Epoch 083: Train Loss: 0.6061 (TP, FP, TN, FN)=(1896, 2851, 4025, 2061), Val Loss: 0.6675 (TP, FP, TN, FN)=(206, 320, 407, 257)
Epoch 084: Train Loss: 0.6042 (TP, FP, TN, FN)=(1860, 2741, 4135, 2097), Val Loss: 0.6673 (TP, FP, TN, FN)=(200, 309, 418, 263)
Epoch 085: Train Loss: 0.6030 (TP, FP, TN, FN)=(1848, 2732, 4144, 2109), Val Loss: 0.6669 (TP, FP, TN, FN)=(199, 307, 420, 264)
Epoch 086: Train Loss: 0.6004 (TP, FP, TN, FN)=(1912, 2811, 4065, 2045), Val Loss: 0.6675 (TP, FP, TN, FN)=(205, 316, 411, 258)
Epoch 087: Train Loss: 0.5987 (TP, FP, TN, FN)=(1921, 2834, 4042, 2036), Val Loss: 0.6641 (TP, FP, TN, FN)=(206, 321, 406, 257)
Epoch 088: Train Loss: 0.5963 (TP, FP, TN, FN)=(1873, 2734, 4142, 2084), Val Loss: 0.6644 (TP, FP, TN, FN)=(197, 315, 412, 266)
Epoch 089: Train Loss: 0.5943 (TP, FP, TN, FN)=(1904, 2760, 4116, 2053), Val Loss: 0.6648 (TP, FP, TN, FN)=(205, 325, 402, 258)
Epoch 090: Train Loss: 0.5923 (TP, FP, TN, FN)=(1951, 2843, 4033, 2006), Val Loss: 0.6651 (TP, FP, TN, FN)=(205, 330, 397, 258)
Epoch 091: Train Loss: 0.5902 (TP, FP, TN, FN)=(1895, 2713, 4163, 2062), Val Loss: 0.6651 (TP, FP, TN, FN)=(199, 317, 410, 264)
Epoch 092: Train Loss: 0.5881 (TP, FP, TN, FN)=(1872, 2669, 4207, 2085), Val Loss: 0.6668 (TP, FP, TN, FN)=(196, 313, 414, 267)
Epoch 093: Train Loss: 0.5861 (TP, FP, TN, FN)=(1915, 2731, 4145, 2042), Val Loss: 0.6668 (TP, FP, TN, FN)=(201, 318, 409, 262)
Epoch 094: Train Loss: 0.5840 (TP, FP, TN, FN)=(1920, 2710, 4166, 2037), Val Loss: 0.6680 (TP, FP, TN, FN)=(201, 314, 413, 262)
Epoch 095: Train Loss: 0.5821 (TP, FP, TN, FN)=(1908, 2676, 4200, 2049), Val Loss: 0.6714 (TP, FP, TN, FN)=(197, 309, 418, 266)
Epoch 096: Train Loss: 0.5800 (TP, FP, TN, FN)=(1940, 2710, 4166, 2017), Val Loss: 0.6722 (TP, FP, TN, FN)=(201, 316, 411, 262)
Epoch 097: Train Loss: 0.5779 (TP, FP, TN, FN)=(1953, 2737, 4139, 2004), Val Loss: 0.6741 (TP, FP, TN, FN)=(202, 321, 406, 261)
Epoch 098: Train Loss: 0.5761 (TP, FP, TN, FN)=(1893, 2623, 4253, 2064), Val Loss: 0.6753 (TP, FP, TN, FN)=(194, 307, 420, 269)
