Epoch 100: Train Loss: 0.6571 (TP, FP, TN, FN)=(2461, 3603, 3254, 1515), Val Loss: 0.6934 (TP, FP, TN, FN)=(269, 382, 364, 175)
Epoch 101: Train Loss: 0.6572 (TP, FP, TN, FN)=(2313, 3354, 3503, 1663), Val Loss: 0.6938 (TP, FP, TN, FN)=(249, 356, 390, 195)
Epoch 102: Train Loss: 0.6574 (TP, FP, TN, FN)=(2604, 3848, 3009, 1372), Val Loss: 0.6945 (TP, FP, TN, FN)=(284, 414, 332, 160)
Epoch 103: Train Loss: 0.6568 (TP, FP, TN, FN)=(2297, 3319, 3538, 1679), Val Loss: 0.6956 (TP, FP, TN, FN)=(248, 350, 396, 196)
Epoch 104: Train Loss: 0.6563 (TP, FP, TN, FN)=(2355, 3385, 3472, 1621), Val Loss: 0.6953 (TP, FP, TN, FN)=(256, 356, 390, 188)
Epoch 105: Train Loss: 0.6565 (TP, FP, TN, FN)=(2556, 3745, 3112, 1420), Val Loss: 0.6951 (TP, FP, TN, FN)=(277, 400, 346, 167)
Epoch 106: Train Loss: 0.6561 (TP, FP, TN, FN)=(2259, 3192, 3665, 1717), Val Loss: 0.6957 (TP, FP, TN, FN)=(245, 341, 405, 199)
Epoch 107: Train Loss: 0.6557 (TP, FP, TN, FN)=(2522, 3637, 3220, 1454), Val Loss: 0.6946 (TP, FP, TN, FN)=(275, 384, 362, 169)
Epoch 108: Train Loss: 0.6552 (TP, FP, TN, FN)=(2425, 3466, 3391, 1551), Val Loss: 0.6949 (TP, FP, TN, FN)=(265, 365, 381, 179)
Epoch 109: Train Loss: 0.6553 (TP, FP, TN, FN)=(2354, 3322, 3535, 1622), Val Loss: 0.6962 (TP, FP, TN, FN)=(254, 352, 394, 190)
Epoch 110: Train Loss: 0.6557 (TP, FP, TN, FN)=(2681, 3883, 2974, 1295), Val Loss: 0.6967 (TP, FP, TN, FN)=(284, 422, 324, 160)
Epoch 111: Train Loss: 0.6554 (TP, FP, TN, FN)=(2302, 3209, 3648, 1674), Val Loss: 0.6987 (TP, FP, TN, FN)=(249, 345, 401, 195)
Epoch 112: Train Loss: 0.6545 (TP, FP, TN, FN)=(2538, 3609, 3248, 1438), Val Loss: 0.6987 (TP, FP, TN, FN)=(270, 384, 362, 174)
Epoch 113: Train Loss: 0.6541 (TP, FP, TN, FN)=(2527, 3613, 3244, 1449), Val Loss: 0.6991 (TP, FP, TN, FN)=(273, 388, 358, 171)
Epoch 114: Train Loss: 0.6544 (TP, FP, TN, FN)=(2364, 3305, 3552, 1612), Val Loss: 0.6992 (TP, FP, TN, FN)=(258, 356, 390, 186)
Epoch 115: Train Loss: 0.6546 (TP, FP, TN, FN)=(2655, 3794, 3063, 1321), Val Loss: 0.6985 (TP, FP, TN, FN)=(283, 408, 338, 161)
Epoch 116: Train Loss: 0.6538 (TP, FP, TN, FN)=(2324, 3193, 3664, 1652), Val Loss: 0.6995 (TP, FP, TN, FN)=(251, 331, 415, 193)
Epoch 117: Train Loss: 0.6532 (TP, FP, TN, FN)=(2458, 3456, 3401, 1518), Val Loss: 0.6994 (TP, FP, TN, FN)=(263, 374, 372, 181)
Epoch 118: Train Loss: 0.6539 (TP, FP, TN, FN)=(2650, 3803, 3054, 1326), Val Loss: 0.6995 (TP, FP, TN, FN)=(285, 411, 335, 159)
Epoch 119: Train Loss: 0.6538 (TP, FP, TN, FN)=(2239, 3049, 3808, 1737), Val Loss: 0.7017 (TP, FP, TN, FN)=(248, 316, 430, 196)
Epoch 120: Train Loss: 0.6528 (TP, FP, TN, FN)=(2540, 3556, 3301, 1436), Val Loss: 0.7000 (TP, FP, TN, FN)=(272, 378, 368, 172)
Epoch 121: Train Loss: 0.6526 (TP, FP, TN, FN)=(2577, 3654, 3203, 1399), Val Loss: 0.7011 (TP, FP, TN, FN)=(274, 395, 351, 170)
Epoch 122: Train Loss: 0.6526 (TP, FP, TN, FN)=(2379, 3281, 3576, 1597), Val Loss: 0.7032 (TP, FP, TN, FN)=(253, 352, 394, 191)
Epoch 123: Train Loss: 0.6525 (TP, FP, TN, FN)=(2577, 3646, 3211, 1399), Val Loss: 0.7030 (TP, FP, TN, FN)=(279, 388, 358, 165)
Epoch 124: Train Loss: 0.6518 (TP, FP, TN, FN)=(2470, 3408, 3449, 1506), Val Loss: 0.7035 (TP, FP, TN, FN)=(266, 363, 383, 178)
Epoch 125: Train Loss: 0.6517 (TP, FP, TN, FN)=(2516, 3495, 3362, 1460), Val Loss: 0.7041 (TP, FP, TN, FN)=(270, 375, 371, 174)
Epoch 126: Train Loss: 0.6515 (TP, FP, TN, FN)=(2565, 3605, 3252, 1411), Val Loss: 0.7047 (TP, FP, TN, FN)=(278, 388, 358, 166)
Epoch 127: Train Loss: 0.6514 (TP, FP, TN, FN)=(2386, 3252, 3605, 1590), Val Loss: 0.7062 (TP, FP, TN, FN)=(257, 333, 413, 187)
Epoch 128: Train Loss: 0.6510 (TP, FP, TN, FN)=(2483, 3429, 3428, 1493), Val Loss: 0.7052 (TP, FP, TN, FN)=(270, 360, 386, 174)
Epoch 129: Train Loss: 0.6510 (TP, FP, TN, FN)=(2543, 3573, 3284, 1433), Val Loss: 0.7044 (TP, FP, TN, FN)=(276, 386, 360, 168)
Epoch 130: Train Loss: 0.6505 (TP, FP, TN, FN)=(2515, 3483, 3374, 1461), Val Loss: 0.7040 (TP, FP, TN, FN)=(272, 368, 378, 172)
Epoch 131: Train Loss: 0.6504 (TP, FP, TN, FN)=(2450, 3355, 3502, 1526), Val Loss: 0.7053 (TP, FP, TN, FN)=(266, 348, 398, 178)
Epoch 132: Train Loss: 0.6503 (TP, FP, TN, FN)=(2484, 3429, 3428, 1492), Val Loss: 0.7066 (TP, FP, TN, FN)=(269, 362, 384, 175)
Epoch 133: Train Loss: 0.6502 (TP, FP, TN, FN)=(2512, 3504, 3353, 1464), Val Loss: 0.7087 (TP, FP, TN, FN)=(272, 380, 366, 172)
Epoch 134: Train Loss: 0.6500 (TP, FP, TN, FN)=(2578, 3645, 3212, 1398), Val Loss: 0.7082 (TP, FP, TN, FN)=(280, 384, 362, 164)
Epoch 135: Train Loss: 0.6498 (TP, FP, TN, FN)=(2453, 3405, 3452, 1523), Val Loss: 0.7086 (TP, FP, TN, FN)=(269, 348, 398, 175)
Epoch 136: Train Loss: 0.6493 (TP, FP, TN, FN)=(2492, 3426, 3431, 1484), Val Loss: 0.7086 (TP, FP, TN, FN)=(268, 356, 390, 176)
Epoch 137: Train Loss: 0.6493 (TP, FP, TN, FN)=(2655, 3727, 3130, 1321), Val Loss: 0.7100 (TP, FP, TN, FN)=(285, 401, 345, 159)
Epoch 138: Train Loss: 0.6501 (TP, FP, TN, FN)=(2380, 3271, 3586, 1596), Val Loss: 0.7125 (TP, FP, TN, FN)=(260, 348, 398, 184)
Epoch 139: Train Loss: 0.6513 (TP, FP, TN, FN)=(2744, 3940, 2917, 1232), Val Loss: 0.7124 (TP, FP, TN, FN)=(292, 425, 321, 152)
Epoch 140: Train Loss: 0.6517 (TP, FP, TN, FN)=(2217, 2954, 3903, 1759), Val Loss: 0.7158 (TP, FP, TN, FN)=(244, 305, 441, 200)
Epoch 141: Train Loss: 0.6500 (TP, FP, TN, FN)=(2708, 3887, 2970, 1268), Val Loss: 0.7121 (TP, FP, TN, FN)=(290, 407, 339, 154)
Epoch 142: Train Loss: 0.6481 (TP, FP, TN, FN)=(2518, 3521, 3336, 1458), Val Loss: 0.7110 (TP, FP, TN, FN)=(273, 368, 378, 171)
Epoch 143: Train Loss: 0.6495 (TP, FP, TN, FN)=(2300, 3100, 3757, 1676), Val Loss: 0.7133 (TP, FP, TN, FN)=(253, 323, 423, 191)
Epoch 144: Train Loss: 0.6520 (TP, FP, TN, FN)=(2833, 4098, 2759, 1143), Val Loss: 0.7125 (TP, FP, TN, FN)=(304, 451, 295, 140)
Epoch 145: Train Loss: 0.6488 (TP, FP, TN, FN)=(2440, 3330, 3527, 1536), Val Loss: 0.7122 (TP, FP, TN, FN)=(266, 344, 402, 178)
Epoch 146: Train Loss: 0.6500 (TP, FP, TN, FN)=(2232, 2984, 3873, 1744), Val Loss: 0.7159 (TP, FP, TN, FN)=(250, 300, 446, 194)
