Epoch 046: Train Loss: 0.4899 (TP, FP, TN, FN)=(2, 0, 7011, 4220), Val Loss: 0.5385 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 047: Train Loss: 0.4907 (TP, FP, TN, FN)=(1, 0, 6976, 4037), Val Loss: 0.5390 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 048: Train Loss: 0.4902 (TP, FP, TN, FN)=(2, 1, 7209, 4065), Val Loss: 0.5390 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 049: Train Loss: 0.4876 (TP, FP, TN, FN)=(2, 1, 6983, 4003), Val Loss: 0.5372 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 050: Train Loss: 0.4894 (TP, FP, TN, FN)=(2, 2, 6969, 4014), Val Loss: 0.5339 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 051: Train Loss: 0.4873 (TP, FP, TN, FN)=(3, 2, 6974, 4036), Val Loss: 0.5300 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 052: Train Loss: 0.4852 (TP, FP, TN, FN)=(4, 2, 6866, 3974), Val Loss: 0.5268 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 053: Train Loss: 0.4883 (TP, FP, TN, FN)=(4, 2, 7132, 4052), Val Loss: 0.5241 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 054: Train Loss: 0.4883 (TP, FP, TN, FN)=(4, 2, 6916, 4006), Val Loss: 0.5221 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 055: Train Loss: 0.4830 (TP, FP, TN, FN)=(6, 5, 6937, 3986), Val Loss: 0.5204 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 056: Train Loss: 0.4839 (TP, FP, TN, FN)=(6, 6, 6937, 3984), Val Loss: 0.5191 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 057: Train Loss: 0.4863 (TP, FP, TN, FN)=(8, 7, 7067, 4057), Val Loss: 0.5180 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
Epoch 058: Train Loss: 0.4835 (TP, FP, TN, FN)=(8, 7, 7068, 4266), Val Loss: 0.5168 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
Epoch 059: Train Loss: 0.4834 (TP, FP, TN, FN)=(8, 5, 6999, 4007), Val Loss: 0.5169 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 060: Train Loss: 0.4844 (TP, FP, TN, FN)=(6, 5, 7060, 4074), Val Loss: 0.5163 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 061: Train Loss: 0.4837 (TP, FP, TN, FN)=(6, 3, 7142, 4055), Val Loss: 0.5151 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 062: Train Loss: 0.4845 (TP, FP, TN, FN)=(4, 3, 6908, 4003), Val Loss: 0.5152 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 063: Train Loss: 0.4855 (TP, FP, TN, FN)=(4, 3, 7006, 4229), Val Loss: 0.5151 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 064: Train Loss: 0.4831 (TP, FP, TN, FN)=(3, 2, 7084, 4250), Val Loss: 0.5151 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 065: Train Loss: 0.4839 (TP, FP, TN, FN)=(2, 1, 6986, 4009), Val Loss: 0.5151 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 066: Train Loss: 0.4824 (TP, FP, TN, FN)=(2, 1, 7036, 4230), Val Loss: 0.5150 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 067: Train Loss: 0.4805 (TP, FP, TN, FN)=(2, 1, 7214, 4255), Val Loss: 0.5149 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 068: Train Loss: 0.4820 (TP, FP, TN, FN)=(3, 1, 7087, 4027), Val Loss: 0.5145 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 069: Train Loss: 0.4809 (TP, FP, TN, FN)=(3, 1, 6984, 4212), Val Loss: 0.5139 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 070: Train Loss: 0.4811 (TP, FP, TN, FN)=(3, 2, 7012, 4037), Val Loss: 0.5132 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 071: Train Loss: 0.4813 (TP, FP, TN, FN)=(3, 2, 6965, 3997), Val Loss: 0.5125 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 072: Train Loss: 0.4823 (TP, FP, TN, FN)=(3, 2, 6880, 3992), Val Loss: 0.5117 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
