tile_center_lon,tile_center_lat,node_id,center_lon,center_lat,tile_distance_m,pop_density,raw_tile_pop
15.4702777779349709,47.038611111091555,"(20921204, 20921210, 0)",15.471073468105375,47.038618394354515,60.303,4.645459175109863,4.645459175109863
15.4819444446016483,47.0274999999804351,"(20929468, 268656638, 0)",15.482861700000003,47.02690955,95.625,0.0,4.645459175109863
15.4822222223794252,47.0255555555359948,"(20929468, 21099885, 0)",15.482697681590532,47.0262812742276,88.378,0.0,4.645459175109863
15.4722222223794184,47.0302777777582151,"(35129132, 4071322998, 0)",15.472083765405483,47.03132492247552,116.909,0.0,4.645459175109863
15.4722222223794184,47.0302777777582151,"(4071322998, 35129132, 0)",15.472083765405483,47.031324922475534,116.909,0.0,4.645459175109863
15.4597222223794084,47.0694444444249172,"(20929478, 21140896, 0)",15.459688489600628,47.06889653209987,60.979,2.3227295875549316,4.645459175109863
15.4597222223794084,47.0694444444249172,"(21140896, 20929478, 0)",15.459688489600627,47.068896532099856,60.979,2.3227295875549316,4.645459175109863
15.4475000001571754,47.0722222222026971,"(20929485, 21261046, 0)",15.446318614889652,47.0721632224324,89.709,0.0,4.645459175109863
15.4475000001571754,47.0722222222026971,"(21261046, 20929485, 0)",15.446318614889654,47.072163222432415,89.709,0.0,4.645459175109863
15.4472222223793985,47.0736111110915871,"(21099611, 21261046, 0)",15.44608632356447,47.072906805784136,116.332,0.0,4.645459175109863
15.4419444446016154,47.0763888888693671,"(20929491, 991630242, 0)",15.442579472993602,47.07722797313796,104.965,0.0,4.645459175109863
15.4419444446016154,47.0763888888693671,"(991630242, 20929491, 0)",15.442579472993602,47.07722797313796,104.965,0.0,4.645459175109863
15.4083333334904768,47.1088888888693944,"(82687995, 1244504045, 0)",15.40901448526442,47.10799452891017,112.015,0.0,4.645459175109863
15.4083333334904768,47.1088888888693944,"(1244504045, 82687995, 0)",15.409014485264422,47.107994528910176,112.015,0.0,4.645459175109863
15.3950000001571325,47.1099999999805021,"(20929515, 327689715, 0)",15.39522089239068,47.10916109199434,94.768,0.0,4.645459175109863
15.3950000001571325,47.1099999999805021,"(327689715, 20929515, 0)",15.395220892390679,47.10916109199432,94.768,0.0,4.645459175109863
15.4547222223794023,47.0383333333137799,"(20959635, 21015387, 0)",15.455114169443082,47.037894912585806,57.086,0.9290918350219727,4.645459175109863
15.4547222223794023,47.0383333333137799,"(21015387, 20959635, 0)",15.45511416944308,47.03789491258581,57.086,0.9290918350219727,4.645459175109863
15.4263888890460485,47.0297222222026647,"(20959645, 20959652, 0)",15.426525288796034,47.030329798885596,68.346,0.46454591751098634,4.645459175109863
15.4136111112682599,47.0324999999804447,"(20959678, 1304229493, 0)",15.413136100000001,47.033063150000004,72.230,1.5484863917032878,4.645459175109863
15.4136111112682599,47.0324999999804447,"(21486675, 20959678, 0)",15.412892653673424,47.032774009443976,62.396,1.5484863917032878,4.645459175109863
15.4136111112682599,47.0324999999804447,"(26756648, 1304229493, 0)",15.412842149390599,47.0324823992989,58.311,1.5484863917032878,4.645459175109863
15.4130555557127025,47.0338888888693347,"(20959678, 20832696, 0)",15.413041333580294,47.03325208149827,70.818,2.3227295875549316,4.645459175109863
15.4255555557127124,47.0305555555359973,"(20959684, 20832644, 0)",15.426230804598042,47.03056159177906,51.182,1.1613647937774658,4.645459175109863
15.4255555557127124,47.0305555555359973,"(1027914513, 20959644, 0)",15.426218095388968,47.030467024615476,51.171,1.1613647937774658,4.645459175109863
15.4638888890460784,47.0408333333137847,"(2052718107, 21486218, 0)",15.464079926987539,47.04132467166791,56.520,2.3227295875549316,4.645459175109863
15.4638888890460784,47.0408333333137847,"(21486217, 2052718107, 0)",15.463997794215054,47.04129857275411,52.386,2.3227295875549316,4.645459175109863
15.4030555557126956,47.1102777777582844,"(1244504045, 1244503971, 0)",15.403255727638326,47.10982534782851,52.539,1.5484863917032878,4.645459175109863
15.4850000001572052,47.0249999999804373,"(21099968, 268656637, 0)",15.4845734,47.025380549999994,53.256,0.6434500217437744,1.2869000434875488
