Epoch 064: Train Loss: 0.6487 (TP, FP, TN, FN)=(1987, 2998, 3931, 2011), Val Loss: 0.6546 (TP, FP, TN, FN)=(230, 286, 460, 214), f1=0.4792
Epoch 065: Train Loss: 0.6484 (TP, FP, TN, FN)=(1973, 2979, 3960, 2016), Val Loss: 0.6534 (TP, FP, TN, FN)=(230, 281, 465, 214), f1=0.4817
Epoch 066: Train Loss: 0.6481 (TP, FP, TN, FN)=(2020, 3089, 4039, 2014), Val Loss: 0.6528 (TP, FP, TN, FN)=(234, 285, 461, 210), f1=0.4860
Epoch 067: Train Loss: 0.6468 (TP, FP, TN, FN)=(2040, 3078, 3854, 1948), Val Loss: 0.6524 (TP, FP, TN, FN)=(239, 293, 453, 205), f1=0.4898
Epoch 068: Train Loss: 0.6459 (TP, FP, TN, FN)=(2102, 3185, 3763, 1897), Val Loss: 0.6526 (TP, FP, TN, FN)=(247, 305, 441, 197), f1=0.4960
Epoch 069: Train Loss: 0.6448 (TP, FP, TN, FN)=(2170, 3242, 3664, 1820), Val Loss: 0.6529 (TP, FP, TN, FN)=(246, 312, 434, 198), f1=0.4910
Epoch 070: Train Loss: 0.6439 (TP, FP, TN, FN)=(2222, 3314, 3677, 1786), Val Loss: 0.6537 (TP, FP, TN, FN)=(249, 324, 422, 195), f1=0.4897
Epoch 071: Train Loss: 0.6427 (TP, FP, TN, FN)=(2213, 3301, 3671, 1805), Val Loss: 0.6540 (TP, FP, TN, FN)=(249, 323, 423, 195), f1=0.4902
Epoch 072: Train Loss: 0.6427 (TP, FP, TN, FN)=(2223, 3297, 3866, 1867), Val Loss: 0.6532 (TP, FP, TN, FN)=(249, 310, 436, 195), f1=0.4965
Epoch 073: Train Loss: 0.6398 (TP, FP, TN, FN)=(2113, 3081, 3802, 1863), Val Loss: 0.6508 (TP, FP, TN, FN)=(244, 299, 447, 200), f1=0.4944
Epoch 074: Train Loss: 0.6388 (TP, FP, TN, FN)=(2099, 3017, 3909, 1893), Val Loss: 0.6486 (TP, FP, TN, FN)=(240, 292, 454, 204), f1=0.4918
Epoch 075: Train Loss: 0.6391 (TP, FP, TN, FN)=(2118, 3049, 4085, 1943), Val Loss: 0.6469 (TP, FP, TN, FN)=(238, 287, 459, 206), f1=0.4912
Epoch 076: Train Loss: 0.6374 (TP, FP, TN, FN)=(2125, 3066, 4026, 1899), Val Loss: 0.6463 (TP, FP, TN, FN)=(241, 292, 454, 203), f1=0.4933
Epoch 077: Train Loss: 0.6371 (TP, FP, TN, FN)=(2311, 3188, 3875, 1930), Val Loss: 0.6466 (TP, FP, TN, FN)=(248, 304, 442, 196), f1=0.4980
Epoch 078: Train Loss: 0.6352 (TP, FP, TN, FN)=(2286, 3255, 3724, 1746), Val Loss: 0.6459 (TP, FP, TN, FN)=(259, 320, 426, 185), f1=0.5064
Epoch 079: Train Loss: 0.6328 (TP, FP, TN, FN)=(2437, 3362, 3717, 1801), Val Loss: 0.6450 (TP, FP, TN, FN)=(265, 325, 421, 179), f1=0.5126
Epoch 080: Train Loss: 0.6320 (TP, FP, TN, FN)=(2189, 3101, 3803, 1792), Val Loss: 0.6443 (TP, FP, TN, FN)=(251, 313, 433, 193), f1=0.4980
Epoch 081: Train Loss: 0.6322 (TP, FP, TN, FN)=(2126, 2978, 4013, 1927), Val Loss: 0.6457 (TP, FP, TN, FN)=(241, 294, 452, 203), f1=0.4923
Epoch 082: Train Loss: 0.6301 (TP, FP, TN, FN)=(2150, 3008, 3988, 1901), Val Loss: 0.6453 (TP, FP, TN, FN)=(244, 296, 450, 200), f1=0.4959
Epoch 083: Train Loss: 0.6295 (TP, FP, TN, FN)=(2265, 3191, 3794, 1771), Val Loss: 0.6435 (TP, FP, TN, FN)=(253, 315, 431, 191), f1=0.5000
Epoch 084: Train Loss: 0.6281 (TP, FP, TN, FN)=(2312, 3261, 3640, 1692), Val Loss: 0.6403 (TP, FP, TN, FN)=(262, 336, 410, 182), f1=0.5029
Epoch 085: Train Loss: 0.6258 (TP, FP, TN, FN)=(2283, 3229, 3705, 1714), Val Loss: 0.6356 (TP, FP, TN, FN)=(260, 336, 410, 184), f1=0.5000
Epoch 086: Train Loss: 0.6270 (TP, FP, TN, FN)=(2169, 3025, 3942, 1853), Val Loss: 0.6315 (TP, FP, TN, FN)=(249, 305, 441, 195), f1=0.4990
Epoch 087: Train Loss: 0.6247 (TP, FP, TN, FN)=(2173, 3070, 3986, 1852), Val Loss: 0.6295 (TP, FP, TN, FN)=(251, 304, 442, 193), f1=0.5025
Epoch 088: Train Loss: 0.6213 (TP, FP, TN, FN)=(2398, 3243, 3905, 1852), Val Loss: 0.6297 (TP, FP, TN, FN)=(255, 321, 425, 189), f1=0.5000
Epoch 089: Train Loss: 0.6198 (TP, FP, TN, FN)=(2262, 3086, 3864, 1752), Val Loss: 0.6304 (TP, FP, TN, FN)=(260, 313, 433, 184), f1=0.5113
Epoch 090: Train Loss: 0.6175 (TP, FP, TN, FN)=(2184, 2886, 3997, 1808), Val Loss: 0.6312 (TP, FP, TN, FN)=(252, 304, 442, 192), f1=0.5040
Epoch 091: Train Loss: 0.6154 (TP, FP, TN, FN)=(2230, 2811, 4174, 1988), Val Loss: 0.6318 (TP, FP, TN, FN)=(241, 293, 453, 203), f1=0.4928
Epoch 092: Train Loss: 0.6159 (TP, FP, TN, FN)=(2175, 2898, 4071, 1840), Val Loss: 0.6324 (TP, FP, TN, FN)=(249, 298, 448, 195), f1=0.5025
Epoch 093: Train Loss: 0.6136 (TP, FP, TN, FN)=(2216, 2994, 3898, 1763), Val Loss: 0.6298 (TP, FP, TN, FN)=(256, 322, 424, 188), f1=0.5010
