Epoch 068: Train Loss: 0.6520 (TP, FP, TN, FN)=(2040, 3131, 3726, 1936), Val Loss: 0.6844 (TP, FP, TN, FN)=(220, 335, 411, 224), f1=0.4404
Epoch 069: Train Loss: 0.6510 (TP, FP, TN, FN)=(2042, 3133, 3768, 1955), Val Loss: 0.6846 (TP, FP, TN, FN)=(222, 334, 412, 222), f1=0.4440
Epoch 070: Train Loss: 0.6507 (TP, FP, TN, FN)=(1997, 3046, 3843, 1983), Val Loss: 0.6838 (TP, FP, TN, FN)=(215, 319, 427, 229), f1=0.4397
Epoch 071: Train Loss: 0.6496 (TP, FP, TN, FN)=(1956, 2990, 3867, 2020), Val Loss: 0.6833 (TP, FP, TN, FN)=(213, 312, 434, 231), f1=0.4396
Epoch 072: Train Loss: 0.6487 (TP, FP, TN, FN)=(2067, 3035, 3939, 2145), Val Loss: 0.6834 (TP, FP, TN, FN)=(212, 311, 435, 232), f1=0.4385
Epoch 073: Train Loss: 0.6483 (TP, FP, TN, FN)=(1988, 3015, 3855, 1993), Val Loss: 0.6840 (TP, FP, TN, FN)=(213, 319, 427, 231), f1=0.4365
Epoch 074: Train Loss: 0.6465 (TP, FP, TN, FN)=(2018, 3075, 3794, 1958), Val Loss: 0.6830 (TP, FP, TN, FN)=(219, 331, 415, 225), f1=0.4406
Epoch 075: Train Loss: 0.6469 (TP, FP, TN, FN)=(2047, 3153, 3892, 1974), Val Loss: 0.6829 (TP, FP, TN, FN)=(213, 331, 415, 231), f1=0.4312
Epoch 076: Train Loss: 0.6450 (TP, FP, TN, FN)=(1992, 3044, 3813, 1984), Val Loss: 0.6820 (TP, FP, TN, FN)=(210, 324, 422, 234), f1=0.4294
Epoch 077: Train Loss: 0.6442 (TP, FP, TN, FN)=(1956, 2994, 3863, 2020), Val Loss: 0.6821 (TP, FP, TN, FN)=(204, 318, 428, 240), f1=0.4224
Epoch 078: Train Loss: 0.6434 (TP, FP, TN, FN)=(1995, 3023, 3848, 1997), Val Loss: 0.6831 (TP, FP, TN, FN)=(204, 321, 425, 240), f1=0.4211
Epoch 079: Train Loss: 0.6424 (TP, FP, TN, FN)=(2073, 3112, 3832, 1956), Val Loss: 0.6849 (TP, FP, TN, FN)=(213, 329, 417, 231), f1=0.4320
Epoch 080: Train Loss: 0.6413 (TP, FP, TN, FN)=(2048, 3061, 3796, 1928), Val Loss: 0.6864 (TP, FP, TN, FN)=(214, 336, 410, 230), f1=0.4306
Epoch 081: Train Loss: 0.6399 (TP, FP, TN, FN)=(1995, 2951, 3906, 1981), Val Loss: 0.6865 (TP, FP, TN, FN)=(208, 320, 426, 236), f1=0.4280
Epoch 082: Train Loss: 0.6390 (TP, FP, TN, FN)=(1954, 2886, 4016, 2029), Val Loss: 0.6879 (TP, FP, TN, FN)=(203, 308, 438, 241), f1=0.4251
Epoch 083: Train Loss: 0.6378 (TP, FP, TN, FN)=(1976, 2926, 4060, 2019), Val Loss: 0.6894 (TP, FP, TN, FN)=(209, 305, 441, 235), f1=0.4363
Epoch 084: Train Loss: 0.6371 (TP, FP, TN, FN)=(2018, 2979, 3909, 1966), Val Loss: 0.6901 (TP, FP, TN, FN)=(212, 316, 430, 232), f1=0.4362
Epoch 085: Train Loss: 0.6363 (TP, FP, TN, FN)=(2031, 2971, 3924, 1951), Val Loss: 0.6888 (TP, FP, TN, FN)=(211, 316, 430, 233), f1=0.4346
Epoch 086: Train Loss: 0.6345 (TP, FP, TN, FN)=(2054, 3003, 3999, 1954), Val Loss: 0.6882 (TP, FP, TN, FN)=(214, 311, 435, 230), f1=0.4417
Epoch 087: Train Loss: 0.6331 (TP, FP, TN, FN)=(2006, 2937, 3951, 1971), Val Loss: 0.6883 (TP, FP, TN, FN)=(213, 305, 441, 231), f1=0.4428
Epoch 088: Train Loss: 0.6323 (TP, FP, TN, FN)=(2027, 2986, 3913, 1968), Val Loss: 0.6896 (TP, FP, TN, FN)=(218, 303, 443, 226), f1=0.4518
Epoch 089: Train Loss: 0.6307 (TP, FP, TN, FN)=(2057, 2997, 3885, 1926), Val Loss: 0.6896 (TP, FP, TN, FN)=(222, 307, 439, 222), f1=0.4563
Epoch 090: Train Loss: 0.6297 (TP, FP, TN, FN)=(2018, 2909, 3948, 1958), Val Loss: 0.6892 (TP, FP, TN, FN)=(221, 297, 449, 223), f1=0.4595
Epoch 091: Train Loss: 0.6284 (TP, FP, TN, FN)=(2019, 2921, 3936, 1957), Val Loss: 0.6899 (TP, FP, TN, FN)=(216, 297, 449, 228), f1=0.4514
Epoch 092: Train Loss: 0.6282 (TP, FP, TN, FN)=(2102, 3002, 3893, 1880), Val Loss: 0.6915 (TP, FP, TN, FN)=(226, 309, 437, 218), f1=0.4617
Epoch 093: Train Loss: 0.6267 (TP, FP, TN, FN)=(2107, 2990, 3874, 1869), Val Loss: 0.6939 (TP, FP, TN, FN)=(224, 307, 439, 220), f1=0.4595
Epoch 094: Train Loss: 0.6252 (TP, FP, TN, FN)=(1961, 2798, 4074, 2018), Val Loss: 0.6957 (TP, FP, TN, FN)=(205, 284, 462, 239), f1=0.4394
Epoch 095: Train Loss: 0.6233 (TP, FP, TN, FN)=(2091, 2943, 3927, 1888), Val Loss: 0.6957 (TP, FP, TN, FN)=(225, 298, 448, 219), f1=0.4654
Epoch 096: Train Loss: 0.6235 (TP, FP, TN, FN)=(2154, 3020, 3851, 1826), Val Loss: 0.6958 (TP, FP, TN, FN)=(234, 312, 434, 210), f1=0.4727
Epoch 097: Train Loss: 0.6213 (TP, FP, TN, FN)=(2020, 2868, 3997, 1956), Val Loss: 0.6973 (TP, FP, TN, FN)=(217, 294, 452, 227), f1=0.4545
Epoch 098: Train Loss: 0.6214 (TP, FP, TN, FN)=(2064, 2930, 3938, 1912), Val Loss: 0.6991 (TP, FP, TN, FN)=(217, 303, 443, 227), f1=0.4502
Epoch 099: Train Loss: 0.6201 (TP, FP, TN, FN)=(2172, 3053, 3845, 1812), Val Loss: 0.7006 (TP, FP, TN, FN)=(237, 317, 429, 207), f1=0.4749
Epoch 100: Train Loss: 0.6194 (TP, FP, TN, FN)=(2171, 3055, 3802, 1805), Val Loss: 0.7025 (TP, FP, TN, FN)=(240, 315, 431, 204), f1=0.4805
Epoch 101: Train Loss: 0.6193 (TP, FP, TN, FN)=(2127, 3057, 4014, 1893), Val Loss: 0.7013 (TP, FP, TN, FN)=(233, 309, 437, 211), f1=0.4726
Epoch 102: Train Loss: 0.6162 (TP, FP, TN, FN)=(2223, 3121, 3791, 1757), Val Loss: 0.6997 (TP, FP, TN, FN)=(243, 327, 419, 201), f1=0.4793
Epoch 103: Train Loss: 0.6167 (TP, FP, TN, FN)=(2272, 3202, 3712, 1752), Val Loss: 0.7025 (TP, FP, TN, FN)=(246, 335, 411, 198), f1=0.4800
Epoch 104: Train Loss: 0.6156 (TP, FP, TN, FN)=(2229, 3137, 3720, 1747), Val Loss: 0.7083 (TP, FP, TN, FN)=(246, 331, 415, 198), f1=0.4819
Epoch 105: Train Loss: 0.6142 (TP, FP, TN, FN)=(2261, 3136, 3735, 1731), Val Loss: 0.7124 (TP, FP, TN, FN)=(244, 336, 410, 200), f1=0.4766
Epoch 106: Train Loss: 0.6125 (TP, FP, TN, FN)=(2213, 3037, 3837, 1767), Val Loss: 0.7139 (TP, FP, TN, FN)=(233, 327, 419, 211), f1=0.4641
Epoch 107: Train Loss: 0.6107 (TP, FP, TN, FN)=(2166, 2948, 3909, 1810), Val Loss: 0.7154 (TP, FP, TN, FN)=(230, 316, 430, 214), f1=0.4646
Epoch 108: Train Loss: 0.6094 (TP, FP, TN, FN)=(2137, 2960, 3970, 1859), Val Loss: 0.7143 (TP, FP, TN, FN)=(227, 306, 440, 217), f1=0.4647
Epoch 109: Train Loss: 0.6085 (TP, FP, TN, FN)=(2191, 2991, 3869, 1785), Val Loss: 0.7150 (TP, FP, TN, FN)=(233, 316, 430, 211), f1=0.4693
Epoch 110: Train Loss: 0.6079 (TP, FP, TN, FN)=(2115, 2895, 4007, 1870), Val Loss: 0.7172 (TP, FP, TN, FN)=(221, 307, 439, 223), f1=0.4547
Epoch 111: Train Loss: 0.6077 (TP, FP, TN, FN)=(2281, 3054, 3855, 1710), Val Loss: 0.7142 (TP, FP, TN, FN)=(241, 316, 430, 203), f1=0.4815
Epoch 112: Train Loss: 0.6055 (TP, FP, TN, FN)=(2214, 2999, 3914, 1776), Val Loss: 0.7171 (TP, FP, TN, FN)=(226, 316, 430, 218), f1=0.4584
Epoch 113: Train Loss: 0.6059 (TP, FP, TN, FN)=(2340, 3065, 3919, 1875), Val Loss: 0.7179 (TP, FP, TN, FN)=(228, 321, 425, 216), f1=0.4592
Epoch 114: Train Loss: 0.6027 (TP, FP, TN, FN)=(2386, 3228, 3686, 1602), Val Loss: 0.7147 (TP, FP, TN, FN)=(251, 346, 400, 193), f1=0.4822
Epoch 115: Train Loss: 0.6022 (TP, FP, TN, FN)=(2165, 2963, 3933, 1815), Val Loss: 0.7154 (TP, FP, TN, FN)=(222, 317, 429, 222), f1=0.4517
Epoch 116: Train Loss: 0.6015 (TP, FP, TN, FN)=(2139, 2937, 3967, 1855), Val Loss: 0.7155 (TP, FP, TN, FN)=(217, 310, 436, 227), f1=0.4470
Epoch 117: Train Loss: 0.5987 (TP, FP, TN, FN)=(2399, 3238, 3661, 1596), Val Loss: 0.7132 (TP, FP, TN, FN)=(252, 348, 398, 192), f1=0.4828
Epoch 118: Train Loss: 0.5973 (TP, FP, TN, FN)=(2317, 3062, 3812, 1669), Val Loss: 0.7113 (TP, FP, TN, FN)=(243, 332, 414, 201), f1=0.4769
Epoch 119: Train Loss: 0.5958 (TP, FP, TN, FN)=(2097, 2822, 4079, 1900), Val Loss: 0.7160 (TP, FP, TN, FN)=(217, 302, 444, 227), f1=0.4507
Epoch 120: Train Loss: 0.5942 (TP, FP, TN, FN)=(2256, 2971, 3890, 1720), Val Loss: 0.7217 (TP, FP, TN, FN)=(220, 324, 422, 224), f1=0.4453
Epoch 121: Train Loss: 0.5929 (TP, FP, TN, FN)=(2258, 2972, 3916, 1719), Val Loss: 0.7228 (TP, FP, TN, FN)=(221, 323, 423, 223), f1=0.4474
Epoch 122: Train Loss: 0.5957 (TP, FP, TN, FN)=(2133, 2817, 4049, 1844), Val Loss: 0.7280 (TP, FP, TN, FN)=(216, 300, 446, 228), f1=0.4500
Epoch 123: Train Loss: 0.5898 (TP, FP, TN, FN)=(2237, 2945, 4054, 1765), Val Loss: 0.7363 (TP, FP, TN, FN)=(220, 315, 431, 224), f1=0.4494
Epoch 124: Train Loss: 0.5929 (TP, FP, TN, FN)=(2366, 3126, 3802, 1625), Val Loss: 0.7430 (TP, FP, TN, FN)=(239, 341, 405, 205), f1=0.4668
Epoch 125: Train Loss: 0.5886 (TP, FP, TN, FN)=(2202, 2854, 4014, 1775), Val Loss: 0.7307 (TP, FP, TN, FN)=(219, 302, 444, 225), f1=0.4539
Epoch 126: Train Loss: 0.5906 (TP, FP, TN, FN)=(2209, 2864, 4033, 1780), Val Loss: 0.7257 (TP, FP, TN, FN)=(216, 307, 439, 228), f1=0.4467
Epoch 127: Train Loss: 0.5869 (TP, FP, TN, FN)=(2304, 2968, 3889, 1672), Val Loss: 0.7236 (TP, FP, TN, FN)=(226, 321, 425, 218), f1=0.4561
Epoch 128: Train Loss: 0.5861 (TP, FP, TN, FN)=(2299, 2950, 3983, 1699), Val Loss: 0.7346 (TP, FP, TN, FN)=(218, 323, 423, 226), f1=0.4426
Epoch 129: Train Loss: 0.5858 (TP, FP, TN, FN)=(2194, 2813, 4089, 1796), Val Loss: 0.7490 (TP, FP, TN, FN)=(207, 309, 437, 237), f1=0.4313
Epoch 130: Train Loss: 0.5847 (TP, FP, TN, FN)=(2290, 2932, 3999, 1732), Val Loss: 0.7398 (TP, FP, TN, FN)=(221, 312, 434, 223), f1=0.4524
Epoch 131: Train Loss: 0.5829 (TP, FP, TN, FN)=(2300, 2963, 3950, 1721), Val Loss: 0.7423 (TP, FP, TN, FN)=(226, 311, 435, 218), f1=0.4608
Epoch 132: Train Loss: 0.5815 (TP, FP, TN, FN)=(2142, 2694, 4183, 1839), Val Loss: 0.7422 (TP, FP, TN, FN)=(206, 289, 457, 238), f1=0.4388
Epoch 133: Train Loss: 0.5790 (TP, FP, TN, FN)=(2224, 2823, 4034, 1752), Val Loss: 0.7444 (TP, FP, TN, FN)=(213, 317, 429, 231), f1=0.4374
Epoch 134: Train Loss: 0.5789 (TP, FP, TN, FN)=(2300, 2934, 4010, 1722), Val Loss: 0.7502 (TP, FP, TN, FN)=(223, 324, 422, 221), f1=0.4501
Epoch 135: Train Loss: 0.5776 (TP, FP, TN, FN)=(2136, 2678, 4196, 1846), Val Loss: 0.7587 (TP, FP, TN, FN)=(207, 299, 447, 237), f1=0.4358
Epoch 136: Train Loss: 0.5753 (TP, FP, TN, FN)=(2205, 2773, 4084, 1771), Val Loss: 0.7460 (TP, FP, TN, FN)=(215, 302, 444, 229), f1=0.4475
Epoch 137: Train Loss: 0.5751 (TP, FP, TN, FN)=(2308, 2918, 3965, 1684), Val Loss: 0.7520 (TP, FP, TN, FN)=(227, 326, 420, 217), f1=0.4554
Epoch 138: Train Loss: 0.5725 (TP, FP, TN, FN)=(2203, 2776, 4081, 1773), Val Loss: 0.7586 (TP, FP, TN, FN)=(215, 303, 443, 229), f1=0.4470
Epoch 139: Train Loss: 0.5725 (TP, FP, TN, FN)=(2133, 2702, 4218, 1879), Val Loss: 0.7614 (TP, FP, TN, FN)=(207, 289, 457, 237), f1=0.4404
Epoch 140: Train Loss: 0.5729 (TP, FP, TN, FN)=(2227, 2780, 4085, 1752), Val Loss: 0.7627 (TP, FP, TN, FN)=(210, 317, 429, 234), f1=0.4325
Epoch 141: Train Loss: 0.5690 (TP, FP, TN, FN)=(2150, 2665, 4192, 1826), Val Loss: 0.7697 (TP, FP, TN, FN)=(206, 293, 453, 238), f1=0.4369
Epoch 142: Train Loss: 0.5717 (TP, FP, TN, FN)=(2321, 2920, 3974, 1664), Val Loss: 0.7599 (TP, FP, TN, FN)=(224, 319, 427, 220), f1=0.4539
Epoch 143: Train Loss: 0.5658 (TP, FP, TN, FN)=(2257, 2820, 4058, 1724), Val Loss: 0.7600 (TP, FP, TN, FN)=(218, 309, 437, 226), f1=0.4490
Epoch 144: Train Loss: 0.5677 (TP, FP, TN, FN)=(2112, 2661, 4267, 1902), Val Loss: 0.7766 (TP, FP, TN, FN)=(203, 280, 466, 241), f1=0.4380
Epoch 145: Train Loss: 0.5641 (TP, FP, TN, FN)=(2307, 2886, 3974, 1669), Val Loss: 0.7722 (TP, FP, TN, FN)=(224, 324, 422, 220), f1=0.4516
Epoch 146: Train Loss: 0.5651 (TP, FP, TN, FN)=(2207, 2733, 4150, 1772), Val Loss: 0.7750 (TP, FP, TN, FN)=(213, 299, 447, 231), f1=0.4456
Epoch 147: Train Loss: 0.5622 (TP, FP, TN, FN)=(2133, 2627, 4272, 1862), Val Loss: 0.7754 (TP, FP, TN, FN)=(205, 285, 461, 239), f1=0.4390
