detector_id,correlation,correlation_ma
4009014,0.959,0.973
401.11,-0.161,-0.298
401.12,-0.176,-0.222
401.21,0.019,0.068
401.22,0.178,0.416
401.31,N/A,N/A
401.32,N/A,N/A
401.33,N/A,N/A
4010011,0.762,0.899
4010012,-0.689,-0.778
4010013,-0.861,-0.880
4010014,0.059,0.104
4010021,0.741,0.868
4010022,0.588,0.722
4010023,0.734,0.818
4010024,0.989,0.995
4012011,0.779,0.878
4012012,0.206,0.226
4012013,0.469,0.575
4012014,0.335,0.275
4012015,-0.811,-0.910
4012016,-0.523,-0.550
4013011,0.000,0.074
4013012,-0.531,-0.516
4013013,-0.023,0.038
4013014,0.418,0.525
4013015,-0.729,-0.792
4013016,-0.899,-0.951
4013017,-0.897,-0.932
4014011,0.591,0.640
4014012,-0.181,-0.195
4014013,0.492,0.636
4014014,-0.514,-0.585
4014015,-0.943,-0.980
4014016,-0.925,-0.962
4019011,-0.396,-0.530
4019012,0.246,0.458
4019013,0.386,0.451
402.11,0.482,0.560
402.12,0.437,0.512
402.13,0.273,0.407
402.14A,-0.035,-0.031
402.15A,0.235,0.283
402.21A,0.589,0.594
402.31,0.348,0.430
402.32,0.159,0.216
402.33,0.237,0.452
402.34A,0.341,0.443
402.35A,0.420,0.439
402.41,0.564,0.720
402.42,0.171,0.186
402.43,0.107,0.243
402.45A,0.137,0.174
4020011,0.002,0.061
4020012,0.958,0.977
4020013,-0.572,-0.645
4020014,-0.786,-0.849
4022011,0.650,0.784
4022012,0.753,0.879
4022013,-0.562,-0.675
4022014,0.966,0.989
4023011,0.605,0.776
4023012,0.774,0.889
4023013,0.839,0.863
4023014,0.977,0.990
4024011,0.517,0.776
4024012,0.738,0.877
4024013,0.734,0.857
4024014,0.967,0.989
4025011,-0.169,-0.088
4025012,-0.203,-0.026
4027011,-0.965,-0.986
4027012,-0.922,-0.948
4027013,-0.577,-0.522
4027014,0.818,0.867
403.11,0.839,0.882
403.12,0.908,0.939
403.21,0.556,0.729
403.31,-0.023,-0.005
403.32,0.098,0.143
4033011,0.649,0.807
4033012,0.536,0.749
4035011,0.476,0.541
4035012,0.130,0.215
4035013,-0.167,-0.232
4036011,0.139,0.104
4037011,0.254,0.331
4037012,0.565,0.702
4037013,-0.365,0.366
4038011,-0.073,-0.080
4038012,0.124,0.099
4039011,0.559,0.647
404.12,0.484,0.637
404.13,0.545,0.671
404.21A,0.888,0.923
404.32,0.627,0.698
404.33,0.536,0.622
4041011,0.018,-0.078
4041012,-0.544,-0.507
4041013,-0.331,-0.349
4044011,-0.040,0.008
4044012,0.887,0.951
405.11,0.609,0.682
405.12,0.652,0.732
405.31,0.109,0.281
405.32,0.347,0.537
405.33,-0.579,-0.602
405.34,0.074,0.245
405.41,0.395,0.578
405.42,0.437,0.529
405.43,0.097,0.173
405.44,0.642,0.743
406.11,0.597,0.755
406.12,0.568,0.736
406.13,0.372,0.509
406.14,0.600,0.717
406.21,0.418,0.551
406.22,0.551,0.684
406.31,0.511,0.551
406.32,0.402,0.495
4097011,0.930,0.943
4097012,-0.597,-0.753
4097013,-0.331,-0.422
4097021,0.711,0.764
4097022,-0.672,-0.804
4097023,-0.515,-0.547
4099011,0.643,0.778
4099012,-0.125,0.071
4099013,-0.626,-0.579
4100011,-0.334,-0.329
4100012,-0.388,-0.462
4100021,0.691,0.674
4100022,0.970,0.977
4100031,0.939,0.976
4100032,0.947,0.976
4101011,-0.721,-0.703
4101012,-0.610,-0.645
4102011,0.656,0.672
4102012,-0.605,-0.587
4102013,-0.459,-0.538
4102021,0.858,0.911
4102022,0.979,0.985
4103011,0.911,0.958
4103012,0.855,0.877
4103013,0.975,0.989
4104011,-0.509,-0.652
4104012,-0.510,-0.371
4105011,0.581,0.553
4105012,0.969,0.979
4106011,0.965,0.980
4106021,0.823,0.877
4107011,0.347,0.394
4107012,0.617,0.678
4107013,0.863,0.912
4107014,0.972,0.985
4108011,0.647,0.809
4108012,0.615,0.758
4108021,0.967,0.987
4108022,0.967,0.987
4109011,0.330,0.645
4109012,0.893,0.955
4109021,0.466,0.636
4109022,0.559,0.675
4110011,0.661,0.839
4110012,0.787,0.868
4110021,0.628,0.761
4110022,0.794,0.906
4111011,0.733,0.903
4111012,0.772,0.872
4111013,0.498,0.610
4111014,0.293,0.407
4112011,0.103,0.428
4112012,0.618,0.693
4114011,-0.355,-0.329
4114012,-0.321,-0.302
4114013,0.128,0.193
4114014,0.568,0.669
